name,category,standard
10mm Automatic,pistol,SAAMI
221 Remington Fireball,pistol,SAAMI
25 Automatic,pistol,SAAMI
25 North American Arms,pistol,SAAMI
30 Luger (7.65mm),pistol,SAAMI
32 Automatic,pistol,SAAMI
32 H&R Magnum,pistol,SAAMI
32 North American Arms,pistol,SAAMI
32 Short Colt,pistol,SAAMI
32 Smith & Wesson Long Wadcutter,pistol,SAAMI
32 Smith & Wesson Long,pistol,SAAMI
32 Smith & Wesson,pistol,SAAMI
327 Federal Magnum,pistol,SAAMI
356 TSW,pistol,SAAMI
357 Magnum,pistol,SAAMI
357 Sig,pistol,SAAMI
38 Automatic,pistol,SAAMI
38 Smith & Wesson,pistol,SAAMI
38 Special +P,pistol,SAAMI
38 Special Match,pistol,SAAMI
38 Special,pistol,SAAMI
38 Super Automatic +P,pistol,SAAMI
380 Automatic,pistol,SAAMI
40 Smith & Wesson,pistol,SAAMI
400 Cor-Bon,pistol,SAAMI
41 Remington Magnum,pistol,SAAMI
44 Remington Magnum,pistol,SAAMI
44 S&W Special,pistol,SAAMI
45 Auto Rim,pistol,SAAMI
45 Automatic +P,pistol,SAAMI
45 Automatic Match,pistol,SAAMI
45 Automatic,pistol,SAAMI
45 Colt,pistol,SAAMI
45 Glock Automatic Pistol,pistol,SAAMI
45 Winchester Magnum,pistol,SAAMI
454 Casull,pistol,SAAMI
460 S&W Magnum,pistol,SAAMI
475 Linebaugh,pistol,SAAMI
480 Ruger,pistol,SAAMI
50 Action Express,pistol,SAAMI
500 S&W Magnum,pistol,SAAMI
500 Special,pistol,SAAMI
9mm Luger +P,pistol,SAAMI
9mm Luger,pistol,SAAMI
9x18 Makarov,pistol,SAAMI
9x23 Winchester,pistol,SAAMI
17 Hornet,rifle,SAAMI
17 Remington Fireball,rifle,SAAMI
17 Remington,rifle,SAAMI
20 Nosler,rifle,SAAMI
204 Ruger,rifle,SAAMI
218 Bee,rifle,SAAMI
22 Hornet,rifle,SAAMI
22 Nosler,rifle,SAAMI
22-250 Remington,rifle,SAAMI
220 Swift,rifle,SAAMI
221 Remington Fireball,rifle,SAAMI
222 Remington Magnum,rifle,SAAMI
222 Remington,rifle,SAAMI
223 Remington,rifle,SAAMI
223 Winchester Super Short Magnum,rifle,SAAMI
224 Valkyrie,rifle,SAAMI
225 Winchester,rifle,SAAMI
24 Nosler,rifle,SAAMI
243 Winchester Super Short Magnum,rifle,SAAMI
243 Winchester,rifle,SAAMI
25 Winchester Super Short Magnum,rifle,SAAMI
25-06 Remington,rifle,SAAMI
25-20 Winchester,rifle,SAAMI
25-35 Winchester,rifle,SAAMI
250 Savage,rifle,SAAMI
257 Roberts +P,rifle,SAAMI
257 Roberts,rifle,SAAMI
257 Weatherby Magnum,rifle,SAAMI
26 Nosler,rifle,SAAMI
260 Remington,rifle,SAAMI
264 Winchester Magnum,rifle,SAAMI
27 Nosler,rifle,SAAMI
270 Weatherby Magnum,rifle,SAAMI
270 Winchester Short Magnum,rifle,SAAMI
270 Winchester,rifle,SAAMI
28 Nosler,rifle,SAAMI
280 Ackley Improved,rifle,SAAMI
280 Remington,rifle,SAAMI
284 Winchester,rifle,SAAMI
30 Carbine,rifle,SAAMI
30 Nosler,rifle,SAAMI
30 Remington AR,rifle,SAAMI
30 Thompson Center,rifle,SAAMI
30-06 Springfield,rifle,SAAMI
30-30 Winchester,rifle,SAAMI
30-40 Krag,rifle,SAAMI
300 AAC Blackout,rifle,SAAMI
300 Holland & Holland Magnum,rifle,SAAMI
300 Remington Short Action Ultra Magnum,rifle,SAAMI
300 Remington Ultra Magnum,rifle,SAAMI
300 Ruger Compact Magnum,rifle,SAAMI
300 Savage,rifle,SAAMI
300 Weatherby Magnum,rifle,SAAMI
300 Winchester Magnum,rifle,SAAMI
300 Winchester Short Magnum,rifle,SAAMI
303 British,rifle,SAAMI
307 Winchester,rifle,SAAMI
308 Marlin Express,rifle,SAAMI
308 Winchester,rifle,SAAMI
32 Winchester Special,rifle,SAAMI
32-20 Winchester,rifle,SAAMI
325 Winchester Short Magnum,rifle,SAAMI
33 Nosler,rifle,SAAMI
338 Federal,rifle,SAAMI
338 Lapua Magnum,rifle,SAAMI
338 Marlin Express,rifle,SAAMI
338 Remington Ultra Magnum,rifle,SAAMI
338 Ruger Compact Magnum,rifle,SAAMI
338 Winchester Magnum,rifle,SAAMI
340 Weatherby Magnum,rifle,SAAMI
348 Winchester,rifle,SAAMI
35 Nosler,rifle,SAAMI
35 Remington,rifle,SAAMI
35 Whelen,rifle,SAAMI
350 Remington Magnum,rifle,SAAMI
356 Winchester,rifle,SAAMI
358 Winchester,rifle,SAAMI
36 Nosler,rifle,SAAMI
370 Sako Magnum,rifle,SAAMI
375 Holland & Holland Magnum,rifle,SAAMI
375 Remington Ultra Magnum,rifle,SAAMI
375 Ruger,rifle,SAAMI
375 Winchester,rifle,SAAMI
376 Steyr,rifle,SAAMI
38-40 Winchester,rifle,SAAMI
38-55 Winchester,rifle,SAAMI
405 Winchester,rifle,SAAMI
416 Remington Magnum,rifle,SAAMI
416 Rigby,rifle,SAAMI
416 Ruger,rifle,SAAMI
416 Weatherby Magnum,rifle,SAAMI
44 Remington Magnum,rifle,SAAMI
44-40 Winchester,rifle,SAAMI
444 Marlin,rifle,SAAMI
45-70 Government,rifle,SAAMI
450 Bushmaster,rifle,SAAMI
450 Marlin,rifle,SAAMI
457 Wild West Guns,rifle,SAAMI
458 Lott,rifle,SAAMI
458 Winchester Magnum,rifle,SAAMI
470 Nitro Express,rifle,SAAMI
475 Turnbull,rifle,SAAMI
"500 Nitro Express 3""",rifle,SAAMI
6 x 45mm,rifle,SAAMI
6.5 Creedmoor,rifle,SAAMI
6.5 Grendel,rifle,SAAMI
6.5 x 55 Swedish,rifle,SAAMI
6.8mm Remington SPC,rifle,SAAMI
6mm Creedmoor,rifle,SAAMI
6mm Remington,rifle,SAAMI
7 x 64 Brenneke,rifle,SAAMI
7-30 Waters,rifle,SAAMI
7.62 x 39,rifle,SAAMI
7mm Mauser (7x57),rifle,SAAMI
7mm Remington Magnum,rifle,SAAMI
7mm Remington Short Action Ultra Magnum,rifle,SAAMI
7mm Remington Ultra Magnum,rifle,SAAMI
7mm Shooting Times Westerner,rifle,SAAMI
